language	total stems	Nouns	Proper Nouns	Verbs	Adjectives	Other
tat	59755	26927	23029	1751	2704	5344
kaz	37801	15294	9436	4261	5273	3537
tur	22652	8423	8059	1822	2294	2054
kir	15886	5297	6327	1067	1238	1957
crh	13631	6335	4151	1121	1603	421
tyv	11845	4217	4192	1398	1603	435
