language	total stems	Nouns	Proper Nouns	Verbs	Adjectives	Other
bak	56463	21245	24001	2294	2624	6299
chv	51341	5321	23770	7803	3549	10898
uzb	36684	19926	1204	6096	5168	4290
kaa	28474	11679	652	8294	3814	4035
uig	25385	14571	1287	3969	3112	2446
sah	10500	5400	2155	1038	1362	545
krc	8551	3524	2454	313	1665	595
gag	6470	1709	3364	379	342	676
kum	4949	2620	1470	423	237	199
